FI Type Name,FI Group Name,FI Industry Name,Company Name,Canadian Trade Company Name,Representative Name,Title,Address Line 1,Address Line 2,City,Province State,Postal ZIP Code,Authorized Insurance Classes
Federally Regulated Financial Institutions,Banks,Domestic Banks,B2B Bank,,Thierry  Langevin,Chief Executive Officer,1360 RENE-LEVESQUE WEST BLVD.,SUITE 600,MONTREAL,Quebec,H3G 0E5,
Federally Regulated Financial Institutions,Banks,Domestic Banks,Bank of Montreal,,William Darryl White,Chief Executive Officer,9TH FLOOR,100 KING ST W,TORONTO,Ontario,M5X 1A1,
Federally Regulated Financial Institutions,Banks,Domestic Banks,Bank of Nova Scotia (The),,Lawren Scott Thomson,President and Chief Executive Officer,THE BANK OF NOVA SCOTIA,40 TEMPERANCE STREET,TORONTO,Ontario,M5H 0B4,
Federally Regulated Financial Institutions,Banks,Domestic Banks,Bridgewater Bank,,Michelle  Chimko,President & Chief Executive Officer,10310 G.A.MACDONALD (39A) AVE,P.O. BOX 8180 STN S,EDMONTON,Alberta,T6J 5X9,
Federally Regulated Financial Institutions,Banks,Domestic Banks,CS Alterna Bank,,"Robert, J. Paterson",President & Chief Executive Officer,319 MCRAE AVE 2ND FLOOR,,OTTAWA,Ontario,K1Z 0B9,
Federally Regulated Financial Institutions,Banks,Domestic Banks,Caisse populaire acadienne ltée (UNI),,Camille  Thériault,Chief Executive Officer,295 BLVD ST PIERRE OUEST,,CARAQUET,New Brunswick,E1W 1B7,
Federally Regulated Financial Institutions,Banks,Domestic Banks,Canadian Imperial Bank of Commerce,,Victor G. Dodig,President and Chief Executive Officer,81 BAY STREET,CIBC SQUARE,TORONTO,Ontario,M5J 0E7,
Federally Regulated Financial Institutions,Banks,Domestic Banks,Canadian Tire Bank,,Joseph  Sheldon,Chief Executive Officer,3475 Superior Court,,Oakville,Ontario,L6L 0C6,
Federally Regulated Financial Institutions,Banks,Domestic Banks,Coast Capital Savings Federal Credit Union,,Calvin  MacInnis,President and Chief Executive Officer,800-9900 KING GEORGE BLVD,,SURREY,British Columbia,V3T 0K7,
Federally Regulated Financial Institutions,Banks,Domestic Banks,Concentra Bank,,Marlene  Lenarduzzi,Interim President and Chief Executive Officer,25 ONTARIO STREET,SUITE 2200,TORONTO,Ontario,M5A 0Y9,
Federally Regulated Financial Institutions,Banks,Domestic Banks,Digital Commerce Bank,,Jeffrey J. Smith,Chief Executive Officer,736 MERIDIAN ROAD NE,,CALGARY,Alberta,T2A 2N7,
Federally Regulated Financial Institutions,Banks,Domestic Banks,Equitable Bank,,Chadwick Roddy Westlake,President and CEO,25 ONTARIO STREET,SUITE 2200,TORONTO,Ontario,M5A 0Y9,
Federally Regulated Financial Institutions,Banks,Domestic Banks,Exchange Bank of Canada,,Randolph W. Pinna,Chief Executive Officer,700-390 BAY ST,,TORONTO,Ontario,M5H 2Y2,
