name,url,abbr,source,,,
Administrative Tribunals Support Service of Canada,https://www.canada.ca/en/administrative-tribunals-support-service.html,ATSSC,canada.ca/dept.html,,,
Agriculture and Agri-Food Canada,https://agriculture.canada.ca/en,AAFC,canada.ca/dept.html,,,
Atlantic Canada Opportunities Agency,https://www.canada.ca/en/atlantic-canada-opportunities.html,ACOA,canada.ca/dept.html,,,
Atlantic Pilotage Authority Canada,https://www.atlanticpilotage.com/,APA,canada.ca/dept.html,,,
Atomic Energy of Canada Limited,https://www.aecl.ca/,AECL,canada.ca/dept.html,,,
Auditor General of Canada (Office of the),https://www.oag-bvg.gc.ca/internet/English/admin_e_41.html,OAG,canada.ca/dept.html,,,
Bank of Canada,http://www.bankofcanada.ca/,,canada.ca/dept.html,,,
Blue Water Bridge Canada,https://bluewaterbridge.ca/,BWB,canada.ca/dept.html,,,
Business Development Bank of Canada,https://www.bdc.ca/en,BDC,canada.ca/dept.html,,,
Canada Agricultural Review Tribunal,https://cart-crac.gc.ca/index-en.html,CART,canada.ca/dept.html,,,
Canada Agriculture and Food Museum,https://ingeniumcanada.org/agriculture,,canada.ca/dept.html,,,
Canada Aviation and Space Museum,https://ingeniumcanada.org/aviation,,canada.ca/dept.html,,,
Canada Border Services Agency,http://www.cbsa-asfc.gc.ca/menu-eng.html,CBSA,canada.ca/dept.html,,,
Canada Council for the Arts,https://canadacouncil.ca/,,canada.ca/dept.html,,,
Canada Deposit Insurance Corporation,https://www.cdic.ca/,CDIC,canada.ca/dept.html,,,
Canada Development Investment Corporation,https://cdev.gc.ca/,CDEV,canada.ca/dept.html,,,
Canada Economic Development for Quebec Regions,https://www.canada.ca/en/economic-development-quebec-regions.html,CED,canada.ca/dept.html,,,
Canada Employment Insurance Commission,https://www.canada.ca/en/employment-social-development/corporate/portfolio/ei-commission.html,CEIC,canada.ca/dept.html,,,
Canada Firearms Centre,https://rcmp.ca/en/firearms,CAFC,canada.ca/dept.html,,,
Canada Industrial Relations Board,https://www.cirb-ccri.gc.ca/en,CIRB,canada.ca/dept.html,,,
Canada Infrastructure Bank,https://cib-bic.ca/en/about-us/our-purpose/,CIB,canada.ca/dept.html,,,
Canada Lands Company Limited,https://www.clc-sic.ca/,CLC,canada.ca/dept.html,,,
Canada Mortgage and Housing Corporation,https://www.cmhc-schl.gc.ca/en,CMHC,canada.ca/dept.html,,,
Canada Pension Plan,https://www.canada.ca/en/services/benefits/publicpensions.html,CPP,canada.ca/dept.html,,,
Canada Pension Plan Investment Board,https://www.cppinvestments.com/,CPPIB,canada.ca/dept.html,,,
Canada Post,https://www.canadapost-postescanada.ca/cpc/en/home.page,CPC,canada.ca/dept.html,,,
Canada Research Chairs,https://www.chairs-chaires.gc.ca/home-accueil-eng.aspx,,canada.ca/dept.html,,,
Canada Revenue Agency,https://www.canada.ca/en/revenue-agency.html,CRA,canada.ca/dept.html,,,
Canada School of Public Service,https://www.csps-efpc.gc.ca/index-eng.aspx,CSPS,canada.ca/dept.html,,,
Accessibility Standards Canada,https://accessible.canada.ca,ASC,canada.ca/dept.html,,,
Canadian Air Transport Security Authority,https://www.catsa-acsta.gc.ca/en,CATSA,canada.ca/dept.html,,,
Canadian Army,https://www.canada.ca/en/army.html,CA,canada.ca/dept.html,,,
Canadian Centre for Occupational Health and Safety,http://www.ccohs.ca/,CCOHS,canada.ca/dept.html,,,
Canadian Coast Guard,https://www.ccg-gcc.gc.ca/index-eng.html,CCG,canada.ca/dept.html,,,
Canadian Commercial Corporation,http://www.ccc.ca/en,CCC,canada.ca/dept.html,,,
Canadian Conservation Institute,https://www.canada.ca/en/conservation-institute.html,CCI,canada.ca/dept.html,,,
Canadian Cultural Property Export Review Board,https://ccperb-cceebc.gc.ca/en/index-en.html,CCPERB,canada.ca/dept.html,,,
