name,url,abbreviation,source
Health Sciences University,https://www.aecc.ac.uk,,uk:edu
All Nations Christian College,https://www.allnations.ac.uk,,uk:edu
Anglia Ruskin University,https://www.anglia.ac.uk,,uk:edu
Arts Educational Schools,https://artsed.co.uk,,uk:edu
The Arts University Bournemouth,https://www.aub.ac.uk,,uk:edu
Askham Bryan College,https://www.askham-bryan.ac.uk,,uk:edu
Barking and Dagenham College,https://www.barkingdagenhamcollege.ac.uk,,uk:edu
Barnet & Southgate College,https://www.barnetsouthgate.ac.uk,,uk:edu
Barnsley College,https://www.barnsley.ac.uk,,uk:edu
Basingstoke College of Technology,https://www.bcot.ac.uk,,uk:edu
Bath Spa University,https://www.bathspa.ac.uk,,uk:edu
University College Birmingham,https://www.ucb.ac.uk,,uk:edu
Bishop Auckland College,https://www.bacoll.ac.uk,,uk:edu
Bishop Burton College,https://www.bishopburton.ac.uk,,uk:edu
Blackburn College,https://www.blackburn.ac.uk,,uk:edu
Blackpool and the Fylde College,https://www.blackpool.ac.uk,,uk:edu
Bolton College,https://www.boltoncollege.ac.uk,,uk:edu
Boston College,https://www.boston.ac.uk,,uk:edu
Bournemouth University,https://www.bournemouth.ac.uk,,uk:edu
Bradford College,https://www.bradfordcollege.ac.uk,,uk:edu
Bradford College,https://www.bradfordcollege.ac.uk,,uk:edu
University Centre Somerset College Group,https://www.bridgwater.ac.uk,,uk:edu
University of Brighton,https://www.brighton.ac.uk,,uk:edu
Bristol Baptist College,https://www.bristol-baptist.ac.uk,,uk:edu
Brockenhurst College,https://www.brock.ac.uk,,uk:edu
London South East Colleges,https://www.lsec.ac.uk,,uk:edu
Brooklands Technical College,https://www.brooklands.ac.uk,,uk:edu
Brunel University of London,https://www.brunel.ac.uk,,uk:edu
Buckinghamshire New University,https://www.bucks.ac.uk,,uk:edu
Burnley College,https://www.burnley.ac.uk,,uk:edu
Burton and South Derbyshire College,https://www.bsdc.ac.uk,,uk:edu
Burton and South Derbyshire College,https://www.bsdc.ac.uk,,uk:edu
Bury College,https://www.burycollege.ac.uk,,uk:edu
Calderdale College,https://www.calderdale.ac.uk,,uk:edu
Canterbury Christ Church University,https://www.canterbury.ac.uk,,uk:edu
Capel Manor College,https://www.capel.ac.uk,,uk:edu
Cardinal Newman College,https://www.cardinalnewman.ac.uk,,uk:edu
Cardinal Newman College,https://www.cardinalnewman.ac.uk,,uk:edu
Central School of Ballet Charitable Trust Limited(The),https://www.centralschoolofballet.co.uk,,uk:edu
University of Northumbria at Newcastle,https://www.northumbria.ac.uk,,uk:edu
Chesterfield College,https://www.chesterfield.ac.uk,,uk:edu
Chicken Shed Theatre Company,https://www.chickenshed.org.uk,,uk:edu
National Centre for Circus Arts,https://nationalcircus.org.uk,,uk:edu
Bath College,https://www.bathcollege.ac.uk,,uk:edu
City of Bristol College,https://www.cityofbristol.ac.uk,,uk:edu
City of Sunderland College,https://www.sunderlandcollege.ac.uk/,,uk:edu
"City St George's, University of London",https://www.city.ac.uk,,uk:edu
The Northern School of Art,http://northernart.ac.uk,,uk:edu
Colchester Institute,https://www.colchester.ac.uk,,uk:edu
College of Integrated Chinese Medicine,https://www.acupuncturecollege.org.uk,,uk:edu
Cornwall College,https://www.cornwall.ac.uk,,uk:edu
Coventry University,https://www.coventry.ac.uk,,uk:edu
Craven College,https://www.craven-college.ac.uk,,uk:edu
Croydon College,https://www.croydon.ac.uk,,uk:edu
Darlington College,https://www.darlington.ac.uk,,uk:edu
De Montfort University,https://www.dmu.ac.uk,,uk:edu
Derby College Group,https://www.derby-college.ac.uk,,uk:edu
Drama Studio London Limited,https://www.dramastudiolondon.co.uk,,uk:edu
West London College,https://www.wlc.ac.uk,,uk:edu
East Durham College,https://www.eastdurham.ac.uk,,uk:edu
Orbital South Colleges,https://www.esc.ac.uk,,uk:edu
ESCP - EAP European School Of Management,https://www.escpeurope.eu,,uk:edu
Exeter College,https://www.exe-coll.ac.uk,,uk:edu
Farnborough College of Technology,https://www.farn-ct.ac.uk,,uk:edu
Furness College,https://www.furness.ac.uk,,uk:edu
Glasgow School of Art.,https://www.gsa.ac.uk,,uk:edu
Gloucestershire College,https://www.gloscol.ac.uk,,uk:edu
"Goldsmiths, University of London",https://www.gold.ac.uk,,uk:edu
Grantham College,https://www.grantham.ac.uk,,uk:edu
Halesowen College,https://www.halesowen.ac.uk,,uk:edu
