"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","UPDATE_DATE","ACCT_007","ACCT_008","ACCT_009","ACCT_010","ACCT_011C","ACCT_013","ACCT_018","ACCT_019","ACCT_021B","ACCT_022B","ACCT_023B","ACCT_025A","ACCT_025B","ACCT_031A","ACCT_031B","ACCT_041B","ACCT_042","ACCT_058C","ACCT_065","ACCT_067","ACCT_068","ACCT_069","ACCT_080","ACCT_083","ACCT_084","ACCT_100","ACCT_300","ACCT_340","ACCT_380","ACCT_386","ACCT_387","ACCT_388","ACCT_392","ACCT_400","ACCT_457","ACCT_521","ACCT_522","ACCT_523","ACCT_524","ACCT_550","ACCT_551","ACCT_552","ACCT_562","ACCT_563","ACCT_602","ACCT_630","ACCT_652A","ACCT_652B1","ACCT_652B2","ACCT_655A","ACCT_655B1","ACCT_655B2","ACCT_656C","ACCT_657","ACCT_658","ACCT_662","ACCT_668","ACCT_671","ACCT_672A","ACCT_672B1","ACCT_672B2","ACCT_703","ACCT_704","ACCT_705","ACCT_706","ACCT_707","ACCT_708","ACCT_710","ACCT_712","ACCT_713","ACCT_714","ACCT_715","ACCT_716","ACCT_718","ACCT_719","ACCT_720","ACCT_721","ACCT_722","ACCT_723","ACCT_724","ACCT_730","ACCT_741A","ACCT_741B1","ACCT_741B2","ACCT_742A","ACCT_742B1","ACCT_742B2","ACCT_746A","ACCT_746B1","ACCT_746B2","ACCT_749","ACCT_750A","ACCT_750B1","ACCT_750B2","ACCT_751","ACCT_755","ACCT_760C","ACCT_761C","ACCT_771","ACCT_775","ACCT_794","ACCT_798","ACCT_799A","ACCT_799B1","ACCT_799B2","ACCT_825","ACCT_860C","ACCT_880","ACCT_902","ACCT_906A","ACCT_908A","ACCT_908C","ACCT_911","ACCT_931","ACCT_940","ACCT_959","ACCT_960","ACCT_968","ACCT_973","ACCT_975","ACCT_976","ACCT_991","Acct_965A","Acct_965B","Acct_965C","Acct_965D","ACCT_020A","ACCT_020B","ACCT_024A","ACCT_024B","ACCT_042A","ACCT_090A","ACCT_090B","ACCT_090C","ACCT_090D","ACCT_099A","ACCT_143A","ACCT_143B","ACCT_143C","ACCT_143D","ACCT_400A","ACCT_400B","ACCT_400C","ACCT_400D","ACCT_400F","ACCT_459A","ACCT_463A","ACCT_475A","ACCT_475B","ACCT_475C","ACCT_475D","ACCT_691B","ACCT_691C","ACCT_692","ACCT_692A","ACCT_704A","ACCT_704B","ACCT_704C","ACCT_704D","ACCT_704E","ACCT_705A","ACCT_705B","ACCT_708B","ACCT_720A","ACCT_720B","ACCT_720C","ACCT_720D","ACCT_720E","ACCT_721A","ACCT_721B","ACCT_724B","ACCT_733A","ACCT_745C1","ACCT_745C2","ACCT_796C1","ACCT_796C2","ACCT_797C1","ACCT_797C2","ACCT_799C1","ACCT_799C2","ACCT_965C1","ACCT_965C2","ACCT_088","ACCT_799A1","ACCT_672B","ACCT_672C1","ACCT_672C2","ACCT_672D","ACCT_744B","ACCT_744C1","ACCT_744C2","ACCT_744D","ACCT_652B","ACCT_652C1","ACCT_652C2","ACCT_652D","ACCT_766A","ACCT_766B","ACCT_766C1","ACCT_766C2","ACCT_766D","ACCT_766E","ACCT_798A1","ACCT_798A2","ACCT_798A3","ACCT_009A","ACCT_009B","ACCT_009C","ACCT_769A1","ACCT_769B1","ACCT_616","ACCT_616A","ACCT_704A1","ACCT_704C1","ACCT_980","ACCT_742C1","ACCT_742C2","ACCT_020J","ACCT_020K","ACCT_020L","ACCT_021J","ACCT_021K","ACCT_021L","ACCT_022J","ACCT_022K","ACCT_022L","ACCT_023J","ACCT_023K","ACCT_023L","ACCT_041J","ACCT_041K","ACCT_041L","Acct_1019","Acct_1019A","Acct_1019B","Acct_1019C","Acct_1019D","Acct_1019E","Acct_789A","Acct_789A1","Acct_789B","Acct_789B1"
1,6/30/2025 0:00:00,2,7/25/2025 10:34:28 PM,40927,5969,0,12744033,0,11308263,11308263,0,37712,5446,0,787,8993949,228,2045343,49015,0,0,0,0,0,0,0,1280,2000,0,4184,0,104581,0,0,0,0,0,0,0,925,674,674,5614,3179,0,0,0,50266,84973,0,0,0,0,0,0,0,6178723,203071,0,0,223682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104562,0,0,0,0,8592,0,0,599460,0,1547450,4445108,0,0,1173841,0,0,258,0,0,0,0,0,0,0,0,0,33738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6/30/2025 0:00:00,7,7/30/2025 10:45:23 PM,2819455,1107786,0,275029973,0,207543708,239297708,0,1020629,522920,622815,20846,206870742,2400,37984950,3008675,0,0,0,0,0,0,0,25902,80000,0,0,29146,1742325,0,0,0,0,0,30756,1059,1206,552,708,1168883,212494,0,0,0,0,382017,0,0,0,0,0,0,0,114267601,0,0,0,7772863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2306432,0,0,0,0,5128777,7000000,31754000,44842736,5850699,37353605,39419718,2394396,0,24112917,0,0,3297,0,0,0,0,0,0,0,0,0,2625751,0,325387,0,0,0,0,0,0,0,0,0,0,1138222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746263,54503,9822215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6/30/2025 0:00:00,11,7/24/2025 10:27:44 PM,4817438,396606,0,65806511,0,59889135,59889135,0,200925,27681,0,8920,31290071,2024,8880271,303218,0,0,0,0,0,0,0,9000,19000,0,0,0,239762,0,0,0,0,0,0,1243,1050,800,875,293914,62708,0,0,0,24290,275629,0,0,0,0,0,0,0,24257961,0,0,0,2471022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543794,0,0,0,0,324458,0,0,16246190,956537,3563697,6395277,11372009,0,6471267,0,0,358,0,0,0,0,0,0,0,0,0,230075,0,15752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108983,36980,3611295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6/30/2025 0:00:00,12,7/25/2025 10:11:13 PM,18332957,2766042,0,1225768731,0,984449667,1065214160,0,1018917,1151378,25563,38283,1066626282,3953,214869204,3269616,0,0,0,0,0,0,0,69387,849530,0,0,1327795,16586924,0,0,0,0,0,22,1100,875,699,699,2115642,420908,0,0,0,0,263146,0,0,0,0,0,0,0,169950474,0,0,0,14196987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9998880,0,0,0,0,6659658,55000000,80764493,122533843,39523941,307695685,547420515,44793110,0,99736431,0,0,12853,0,0,0,0,0,0,0,0,0,12545005,0,68709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4229405,65973,8172348,0,0,0,0,0,36955028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6/30/2025 0:00:00,14,7/15/2025 10:11:59 PM,0,4009,0,10321180,0,8999215,8999215,0,0,0,11715,321,3641597,36,793274,11715,0,0,0,0,0,0,0,868,1320,0,0,0,30057,0,0,0,0,0,0,1490,1000,649,674,0,4014,0,0,0,0,0,0,0,0,0,0,0,0,5690901,479075,0,0,180024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80491,0,0,0,0,883,0,0,1987713,167280,1153319,1153319,0,0,820888,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6608,13691,22954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6/30/2025 0:00:00,16,7/28/2025 10:29:28 PM,0,0,0,9931372,0,6763298,6763298,0,0,0,0,205,1454775,68,406785,1659,0,0,0,0,0,0,0,1063,2500,0,0,0,52112,0,0,0,0,0,0,0,990,565,595,792,122,0,0,0,0,0,0,0,0,0,0,0,0,6763298,91769,0,0,68278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65179,0,0,0,0,1503,0,0,0,0,0,0,0,0,3074802,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3218,11273,8724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6/30/2025 0:00:00,17,7/29/2025 11:11:06 PM,3173464,208080,0,356097547,0,298192211,298192211,0,166627,209446,122883,17098,234978768,872,32346521,526089,0,0,0,0,0,0,0,22114,25000,0,0,0,2964611,0,0,0,0,0,0,850,824,545,545,121830,32511,0,0,0,0,0,0,0,0,0,0,0,0,82022876,0,0,0,4057218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2605580,0,0,0,0,2741560,0,0,36579043,14520161,120807156,124693797,38583706,0,56159412,0,0,3078,0,0,0,0,0,0,0,0,0,401345,0,46623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788491,179577,1457002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6/30/2025 0:00:00,19,7/11/2025 10:10:34 PM,129682,28175,0,21663921,0,19343667,19343667,0,7765,0,0,505,6092173,43,1374498,7765,0,0,0,0,0,0,0,1167,14437,0,-10999,0,62818,0,0,0,0,0,0,1000,1019,459,559,24738,18474,0,0,0,42913,9859,0,0,0,0,0,0,0,11779067,603146,0,0,327706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182886,0,0,0,0,90277,0,0,3615900,0,1770099,3938840,0,0,1583918,0,0,57,0,0,0,0,0,0,0,0,0,3571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16241,0,58600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6/30/2025 0:00:00,21,7/29/2025 10:24:26 PM,61209636,5612659,0,1410974903,0,1170478471,1186683471,0,8739206,2622412,219283,55514,1210224558,6912,254491020,20203276,0,0,0,0,0,0,0,144228,1076341,0,0,7368098,13043359,0,0,0,0,0,16205,990,1199,799,849,8423235,1810055,0,0,0,0,0,0,0,0,0,0,0,0,263825138,0,0,0,26867828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11187483,0,0,0,0,30775155,75302167,16205000,244746909,51375022,386439539,401601514,206287774,0,129926901,0,0,24279,0,0,0,0,0,0,0,0,0,18959892,0,0,0,0,0,0,0,0,0,0,0,0,113387471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5735220,211088,33626297,0,0,0,0,0,18011738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,6/30/2025 0:00:00,29,7/21/2025 10:02:52 PM,1905367,411625,0,156371315,0,137679910,137679910,0,295677,141723,195195,6167,83715038,472,15916950,767726,0,0,0,0,0,0,0,14039,1137749,0,0,0,645555,0,0,0,0,0,0,895,1147,513,622,258978,78805,0,0,0,0,163651,0,0,0,0,0,0,0,72267201,0,0,0,2703017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176055,0,0,0,0,1747963,0,0,23559976,4277604,23435410,25192457,10751925,0,15641543,0,0,679,0,0,0,0,0,0,0,0,0,284248,0,12781,0,0,0,0,0,0,0,0,0,0,154382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235635,292374,315364,0,0,0,0,0,14380978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
