"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_001","ACCT_011A","ACCT_011B1","ACCT_011B2","ACCT_013A","ACCT_013B1","ACCT_013B2","ACCT_014","ACCT_017","ACCT_018A","ACCT_018B1","ACCT_018B2","ACCT_021A","ACCT_022A","ACCT_023A","ACCT_041A","ACCT_058A","ACCT_058B1","ACCT_058B2","ACCT_062","ACCT_063","ACCT_076","ACCT_077","ACCT_078","ACCT_079","ACCT_081","ACCT_082","ACCT_090","ACCT_099","ACCT_110","ACCT_119","ACCT_120","ACCT_124","ACCT_125A","ACCT_125B","ACCT_125C","ACCT_125D","ACCT_125E","ACCT_126A","ACCT_126B","ACCT_126C","ACCT_126D","ACCT_126E","ACCT_131","ACCT_132","ACCT_133","ACCT_134","ACCT_135","ACCT_140","ACCT_142","ACCT_143","ACCT_144","ACCT_210","ACCT_230","ACCT_250","ACCT_260","ACCT_270","ACCT_280","ACCT_290","ACCT_305","ACCT_310","ACCT_314","ACCT_315","ACCT_320","ACCT_360","ACCT_370","ACCT_381","ACCT_384","ACCT_385","ACCT_389","ACCT_391","ACCT_393","ACCT_395","ACCT_396","ACCT_397","ACCT_399","ACCT_420","ACCT_430","ACCT_440","ACCT_451","ACCT_452","ACCT_453","ACCT_454","ACCT_455","ACCT_458","ACCT_460","ACCT_463","ACCT_475","ACCT_481","ACCT_482","ACCT_532","ACCT_547","ACCT_548","ACCT_549","ACCT_553","ACCT_554","ACCT_555","ACCT_560","ACCT_561","ACCT_564A","ACCT_564B","ACCT_593","ACCT_594","ACCT_595","ACCT_596","ACCT_599","ACCT_002","ACCT_115","ACCT_116","ACCT_117","ACCT_350","ACCT_565","Acct_661A","Acct_769A","Acct_769B","Acct_820A","Acct_954","Acct_925A","Acct_925B1","Acct_925B2","Acct_010A","Acct_010B","Acct_010C","Acct_730A","Acct_730B","Acct_730C","Acct_799I","Acct_814A","Acct_889A","Acct_889B","Acct_892A","Acct_892B","Acct_945A","Acct_945B","Acct_996","Acct_997","Acct_998","Acct_999","ACCT_779A","ACCT_785A","ACCT_798A","ACCT_814B","ACCT_865A","ACCT_900A","ACCT_900B","ACCT_900C","ACCT_900D","ACCT_900F","ACCT_903","ACCT_904","ACCT_905","ACCT_906","ACCT_961A","ACCT_972A","ACCT_972B","ACCT_972C","ACCT_972D","ACCT_972E","ACCT_973A","ACCT_973B","ACCT_976B","ACCT_982A","ACCT_982B","ACCT_982C","ACCT_982D","ACCT_982E","ACCT_983A","ACCT_983B","ACCT_986B","ACCT_617A","ACCT_618A","ACCT_718A","ACCT_617B","ACCT_617C","ACCT_618B","ACCT_618C","ACCT_883A","ACCT_883B1","ACCT_883B2","ACCT_883C","ACCT_881","ACCT_882","ACCT_822","ACCT_567","ACCT_568","ACCT_020C","ACCT_021C","ACCT_022C","ACCT_023C","ACCT_041C","ACCT_020D","ACCT_021D","ACCT_022D","ACCT_023D","ACCT_041D","ACCT_713A","ACCT_714A","ACCT_715A","ACCT_716A","ACCT_020E","ACCT_021E","ACCT_022E","ACCT_023E","ACCT_041E","ACCT_020F","ACCT_021F","ACCT_022F","ACCT_023F","ACCT_041F","ACCT_065A","ACCT_065B","ACCT_065C","ACCT_065D","ACCT_065E","ACCT_067A","ACCT_067B","ACCT_067C","ACCT_550J","ACCT_550K","ACCT_550L","ACCT_551J","ACCT_551K","ACCT_551L","ACCT_029A","ACCT_029B","ACCT_029C","ACCT_029D","ACCT_029E","ACCT_030A","ACCT_030B","ACCT_030C","ACCT_030D","ACCT_030E","ACCT_032A","ACCT_032B","ACCT_032C","ACCT_032D","ACCT_032E","ACCT_704F1","ACCT_704F2","ACCT_704F3","ACCT_704F4","ACCT_811B","ACCT_PP0027","ACCT_PP0029","ACCT_PP0031"
1,6/30/2025 0:00:00,2,0,0,0,0,8410606,2897658,0,12744033,0,8410606,2897658,0,0,0,0,10,0,0,0,0,122024,0,0,0,0,0,0,0,0,297763,0,42063,0,0,0,0,0,0,0,0,0,0,0,16121,0,0,0,0,0,0,0,0,104362,1193,6566,94318,203,4426,8829,0,0,0,0,705,3080,4054227,0,0,2043455,0,0,0,0,0,869747,0,0,0,0,153,347,0,120,68,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,339826,0,42889,104581,0,21144,0,2361,0,0,0,0,0,0,0,0,57001,1164801,0,0,0,0,0,0,0,0,0,0,1429653,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,19262,1679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6/30/2025 0:00:00,7,0,0,0,0,205091054,1046491,1406164,275029973,0,207527054,18366491,13404164,0,0,0,260,0,0,0,0,122024,0,0,0,0,0,0,0,0,7511462,0,618597,0,0,0,0,0,0,0,0,0,0,0,737349,0,0,0,0,0,0,0,0,4047910,100018,283348,2309310,184902,440037,321883,0,0,0,0,25702,59753,68085931,0,0,35903570,0,0,0,0,20249367,28260847,0,0,7425,1207465,1246,13979,420,30687,220,94,77402,0,0,0,0,0,0,0,0,0,0,0,0,0,92,8,0,0,0,0,0,0,8130059,0,3205196,1771471,0,1332798,0,356993,193672,0,7000000,0,0,0,0,0,5922410,19218282,0,0,0,0,0,0,0,0,0,0,31403333,1142,0,0,0,46800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,4340445,0,0,0,0,0,0,0,0,0,21560000,0,0,8930998,1678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6/30/2025 0:00:00,11,0,0,0,0,56672023,1435996,1781116,65806511,0,56672023,1435996,1781116,0,0,0,196,0,0,0,0,32025,0,0,0,0,0,0,0,0,1654869,0,356212,0,0,0,0,0,0,0,0,0,0,0,668146,0,0,0,0,0,0,0,0,1004995,57254,230146,366762,39667,392525,369502,0,0,0,0,3088,7083,4702239,0,0,4404524,0,0,0,0,3278288,9678834,0,0,0,22,251,6225,148,12776,528,348,20276,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,0,0,0,0,0,0,2011081,0,1238388,239762,0,231039,0,180000,11816,0,0,0,0,0,0,0,394599,3124529,0,0,0,0,0,0,0,0,-914455,0,6495557,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000,0,0,7640468,1793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6/30/2025 0:00:00,12,0,0,0,0,684760199,244136495,55552974,1225768731,0,698296692,311364495,55552974,0,0,0,135,0,0,0,0,122024,0,0,0,0,0,0,0,0,31054531,0,2416695,0,0,0,0,0,0,0,0,0,0,0,3165749,0,0,0,0,0,0,0,0,6706785,186255,608747,4525409,422441,1143427,426573,0,22974,0,0,100299,54077,309097171,0,0,315788567,0,0,0,0,10114531,23364852,0,0,-12973,0,9395,34843,2487,75844,160,788,123539,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,33471226,0,6414799,17914719,0,5915945,0,0,0,0,15000000,0,0,0,0,0,6365686,106764777,0,0,0,0,0,0,0,0,-834902,0,115488248,942,0,48227562,0,608740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20495,584051725,0,0,0,0,0,6000000,34000000,0,40000000,267650247,0,0,577600,1732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6/30/2025 0:00:00,14,0,0,0,0,8999213,0,0,10321180,0,8999213,0,0,0,0,0,1,0,0,0,0,42025,0,0,0,0,0,0,0,0,98000,0,88972,0,0,0,0,0,0,0,0,0,0,0,11884,0,0,0,0,0,0,0,0,102874,0,1800,26934,469,42257,8629,0,0,0,0,598,-3537,1330546,0,0,962386,0,0,0,0,128461,195404,0,0,0,0,70,334,6,1102,0,0,1512,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,186972,0,28861,30057,0,5752,0,40341,21119,0,0,0,0,0,0,0,84061,2277133,0,0,0,0,0,0,0,0,0,0,1299963,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6/30/2025 0:00:00,16,0,0,0,0,6763298,0,0,9931372,0,6763298,0,0,0,0,0,1,0,0,0,0,92024,0,0,0,0,0,0,0,0,50882,0,162226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39311,0,8850,4791,117,2592,11015,0,0,0,0,622,980,846224,0,0,274374,0,0,0,0,0,316340,0,0,0,0,0,0,0,1750,0,0,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,213108,0,0,52112,0,92718,2857,0,0,0,0,0,0,0,0,0,30,640846,0,0,0,0,0,0,0,0,0,0,3166571,3188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6/30/2025 0:00:00,17,0,0,0,0,292512942,4294338,1384932,356097547,0,292512942,4294338,1384932,0,0,0,13,0,0,0,0,92024,0,0,0,0,0,0,0,0,6776012,0,2098687,0,0,0,0,0,0,0,0,0,0,0,153793,0,0,0,0,0,0,0,0,1635179,37015,190713,896753,117153,516439,483331,0,57331,0,0,31015,92289,40931688,0,0,13051720,0,0,0,0,13507619,13872467,0,0,0,0,4717,11848,1359,23444,0,1517,42885,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,8874699,0,937853,2964611,0,2860794,0,0,459915,0,0,0,0,0,0,0,1139000,36463890,0,0,0,0,0,0,0,0,89708,0,56537921,1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35247350,0,0,110909,1690.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6/30/2025 0:00:00,19,0,0,0,0,17174925,2168741,0,21663921,0,17174925,2168741,0,0,0,0,1,0,0,0,0,122024,0,0,0,0,0,0,0,0,172229,0,231551,0,0,0,0,0,0,0,0,0,0,0,57755,0,0,0,0,0,0,0,0,138503,235,24098,48661,4068,4414,88899,0,0,0,0,1993,16835,1227800,0,0,2412491,0,0,0,0,298195,239212,0,0,0,0,135,620,0,1167,24,0,1946,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,403780,0,57755,62818,0,82010,0,111464,0,0,0,0,0,0,0,0,329084,1816490,0,0,0,0,0,0,0,0,0,0,2247523,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,26761,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6/30/2025 0:00:00,21,0,0,0,0,1152674382,15612114,2191974,1410974903,0,1168879382,15612114,2191974,0,0,0,1107,0,0,0,0,62024,0,0,0,0,0,0,0,0,43672400,0,8613342,0,0,0,0,0,0,0,0,0,0,0,7362979,0,0,0,0,0,0,0,0,16517780,378330,1804177,2628960,1035604,915084,3171668,0,0,0,0,125862,290363,417391925,0,0,42579313,0,0,0,0,47,54909886,0,0,0,185211,12008,56009,3015,252147,0,10175,349559,0,0,0,0,0,0,0,0,0,0,0,0,0,307,26,0,0,0,0,0,0,55435742,0,8882736,20411457,0,7073828,0,5359,23333,0,0,0,0,0,0,1381464503,6714674,11366939,0,0,0,0,0,0,0,0,298167,0,131790377,953,0,386610669,0,960973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19198,377188978,0,0,0,0,0,29500000,20000000,25802167,75302167,574135304,0,0,97986147,1649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11190353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,6/30/2025 0:00:00,29,0,0,0,0,134455767,2496020,728123,156371315,0,134455767,2496020,728123,0,0,0,59,0,0,0,0,92024,0,0,0,0,0,0,0,0,2218391,0,1289699,0,0,0,0,0,0,0,0,0,0,0,680795,0,0,0,0,0,0,0,0,1113886,2695,96575,315723,28793,215432,813342,0,34744,0,0,13663,68164,8673191,0,0,15089015,0,0,0,0,3099655,3709845,0,0,0,0,1255,8372,429,16079,42,299,26476,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,3508090,0,672881,645555,0,658851,0,66000,28290,0,0,0,0,0,0,0,1290105,10353801,0,0,0,0,0,0,0,0,0,0,16982268,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,0,139347,1594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
