"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
1,6/30/2025 0:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161
6,6/30/2025 0:00:00,7,0,0,0,0,0,0,916430,0,0,0,0,0,0,0,34392793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16212,0,0,4822946,40195884,0,0,0,0,47503,14,1,1,3,0,0,1,1,4,0,5,1,6,5,0,0,0,9,15,210,216,0,0,0,0,0,0,697
12,6/30/2025 0:00:00,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2850041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410797,0,0,0,3290248,0,0,0,0,29410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,102,0,0,0,0,0,0,28
13,6/30/2025 0:00:00,12,0,0,0,0,0,0,62524586,0,0,0,0,0,0,0,33624035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30610805,126956099,0,0,0,0,196673,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,3,1974,1648,0,0,0,0,0,0,1000
16,6/30/2025 0:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40661,0,0,0,354543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,6
19,6/30/2025 0:00:00,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
22,6/30/2025 0:00:00,17,0,0,0,0,0,0,78630070,0,0,0,0,0,0,0,49216736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527489,0,0,42286,128453861,0,0,0,0,37280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,2632,0,0,0,0,0,0,119
26,6/30/2025 0:00:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631291,0,0,0,0,115504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,59
28,6/30/2025 0:00:00,21,0,0,0,0,0,0,86918579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17948379,0,0,0,0,9703357,0,0,486840,157711109,0,0,0,0,60602333,395,9,0,8,0,0,0,0,188,9,243,9,254,144,0,11,0,152,404,2113,4055,14,0,0,0,0,0,2996
42,6/30/2025 0:00:00,29,0,0,0,0,0,0,17294874,0,0,0,0,0,0,0,10020106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28158759,0,0,0,0,843779,7,0,0,0,0,0,1,0,4,0,5,0,5,2,0,0,0,2,7,175,763,0,0,0,0,0,0,40
47,6/30/2025 0:00:00,30,0,0,0,0,0,0,3180185,0,0,0,0,0,0,0,2536397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213032,0,0,0,5929614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,98,0,0,0,0,0,0,123
