"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
1,6/30/2025 0:00:00,2,0,0,57001,0,1,0,29124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29124,0,0,0,29124,0,0,0,0,0,11316855,0,0,0,0,0,0,0,0,03/01/2023,7500,12746508,0,0,0,0,0,0,0,0,0,0,0,26768,0,0,0,0,0,0,0,0,0,0
6,6/30/2025 0:00:00,7,0,0,5922410,0,1,0,3003349,0,0,0,0,0,0,0,0,0,0,0,0,11007070,11980964,3643137,1923665,0,28554836,0,0,0,0,0,0,0,-1050697,0,459125,0,0,-1002,458123,0,0,0,0,57180,251677337,0,0,0,0,0,0,0,0,01/01/2023,0,275029973,0,0,0,0,0,0,0,0,0,0,0,1252957,0,0,0,0,0,0,0,0,0,0
12,6/30/2025 0:00:00,11,0,306984,304009,90590,1,0,1081454,0,0,325000,0,0,325000,0,0,0,0,0,0,0,0,0,0,0,0,1988987,1479545,479054,0,0,3947586,0,0,0,307646,0,0,0,307646,0,0,0,0,0,60225409,0,0,0,0,0,0,0,0,04/01/2023,0,65806511,0,0,0,0,0,0,0,0,0,0,0,570220,0,0,0,0,0,0,0,0,0,0
13,6/30/2025 0:00:00,12,0,106528875,3244378,3121308,1,0,3718742,0,0,0,0,0,0,0,0,0,0,0,0,63057,132533,0,0,0,195590,0,0,0,0,0,0,0,-6616,0,1858374,0,0,0,1858374,0,0,0,0,0,1126873818,0,0,0,0,0,0,0,0,01/01/2023,2278236,1226520548,0,0,0,0,0,0,0,0,0,0,0,3261066,0,0,0,0,0,0,0,0,0,0
16,6/30/2025 0:00:00,14,0,0,84061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9021217,0,0,0,0,0,0,0,0,,0,10321180,0,0,0,0,0,0,0,0,0,0,0,16977,0,0,0,0,0,0,0,0,0,0
19,6/30/2025 0:00:00,16,0,0,30,0,1,0,31530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5106000,2670000,0,0,0,7776000,0,0,0,0,0,0,0,0,0,0,0,0,0,6764801,0,0,0,0,0,0,0,0,Fiscal Year 2022,0,9931372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6/30/2025 0:00:00,17,0,36060404,255330,883670,1,0,1526624,4482843,0,0,0,0,4482843,0,0,0,0,0,0,1417509,624930,9494720,7423318,0,18960476,0,0,0,0,0,0,0,-1545259,0,-70071,0,0,0,-70071,0,0,0,0,0,301393686,0,0,0,0,0,0,0,0,12/01/2023,564939,356476056,0,0,0,0,0,0,0,0,0,0,0,663793,0,120241,26,0,0,0,0,0,0,0
26,6/30/2025 0:00:00,19,0,0,329084,0,1,0,51874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19433944,0,0,0,0,0,0,0,0,01/01/2023,53172,21681467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6/30/2025 0:00:00,21,0,10716089,6714674,0,1,0,19709337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10687377,25309417,3676165,39672959,0,0,0,0,0,0,0,-12034291,0,9965365,0,0,0,9965365,0,0,0,0,0,1292784126,7,128461,41758,0,0,0,4,16623,07/01/2023,5646897,1412838379,0,0,0,0,0,0,0,0,0,0,0,3665820,0,0,-1972412,0,0,1,9500000,0,0,0
42,6/30/2025 0:00:00,29,0,0,1290105,0,1,0,326049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9134000,13674000,3549000,0,0,26357000,0,0,0,173548,0,0,0,173548,0,0,0,0,0,139456163,0,0,0,0,0,0,0,0,10/01/2023,100174,156438431,0,0,0,0,0,0,0,0,0,0,0,-7914,0,0,0,0,0,0,0,0,0,0
