"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_RB0026","ACCT_RB0027","ACCT_RB0028","ACCT_RB0029","ACCT_RB0030","ACCT_RB0031","ACCT_RB0032","ACCT_RB0033","ACCT_RB0034","ACCT_RB0035","ACCT_RB0036","ACCT_RB0037","ACCT_RB0038","ACCT_RB0039","ACCT_RB0040","ACCT_RB0041","ACCT_RB0042","ACCT_RB0043","ACCT_RB0044","ACCT_RB0045","ACCT_RB0046","ACCT_RB0047","ACCT_RB0048","ACCT_RB0049","ACCT_RB0050","ACCT_RB0051","ACCT_RB0052","ACCT_RB0053","ACCT_RB0054","ACCT_RB0055","ACCT_RB0056","ACCT_RB0057","ACCT_RB0058","ACCT_RB0059","ACCT_RB0060","ACCT_RB0061","ACCT_RB0062","ACCT_RB0063","ACCT_RB0064","ACCT_RB0065","ACCT_RB0066","ACCT_RB0067","ACCT_RB0068","ACCT_RB0069","ACCT_RB0070","ACCT_RB0071","ACCT_RB0072","ACCT_RB0073","ACCT_RB0074","ACCT_RB0075","ACCT_RB0076","ACCT_RB0077","ACCT_RB0078","ACCT_RB0079","ACCT_RB0080","ACCT_RB0081","ACCT_RB0082","ACCT_RB0083","ACCT_RB0084","ACCT_RB0085","ACCT_RB0086","ACCT_RB0087","ACCT_RB0088","ACCT_RB0089","ACCT_RB0090","ACCT_RB0091","ACCT_RB0092","ACCT_RB0093","ACCT_RB0094","ACCT_RB0095","ACCT_RB0096","ACCT_RB0097","ACCT_RB0098","ACCT_RB0099","ACCT_RB0100","ACCT_RB0101","ACCT_RB0102","ACCT_RB0103","ACCT_RB0104","ACCT_RB0105","ACCT_RB0106","ACCT_RB0107","ACCT_RB0108","ACCT_RB0109","ACCT_RB0110","ACCT_RB0111","ACCT_RB0112","ACCT_RB0113","ACCT_RB0114","ACCT_RB0115","ACCT_RB0116","ACCT_RB0117","ACCT_RB0118","ACCT_RB0119","ACCT_RB0120","ACCT_RB0121","ACCT_RB0122","ACCT_RB0123","ACCT_RB0124","ACCT_RB0125","ACCT_RB0126","ACCT_RB0127","ACCT_RB0128","ACCT_RB0129","ACCT_RB0130","ACCT_RB0131","ACCT_RB0132","ACCT_RB0133","ACCT_RB0134","ACCT_RB0135","ACCT_RB0136","ACCT_RB0137","ACCT_RB0138","ACCT_RB0139","ACCT_RB0140","ACCT_RB0141","ACCT_RB0142","ACCT_RB0143","ACCT_RB0144","ACCT_RB0145","ACCT_RB0146","ACCT_RB0147","ACCT_RB0148","ACCT_RB0149","ACCT_RB0150","ACCT_RB0151","ACCT_RB0152","ACCT_RB0153","ACCT_RB0154","ACCT_RB0155","ACCT_RB0156","ACCT_RB0157","ACCT_RB0158","ACCT_RB0159","ACCT_RB0160","ACCT_RB0161","ACCT_RB0162","ACCT_RB0163","ACCT_RB0164","ACCT_RB0165","ACCT_RB0166","ACCT_RB0167","ACCT_RB0168","ACCT_RB0169","ACCT_RB0170","ACCT_RB0171","ACCT_RB0172","ACCT_RB0177","ACCT_RL0001","ACCT_RL0002","ACCT_RL0003","ACCT_RL0004","ACCT_RL0005","ACCT_RL0006","ACCT_RL0007","ACCT_RL0008","ACCT_RL0009","ACCT_RL0010","ACCT_RL0011","ACCT_RL0012","ACCT_RL0013","ACCT_RL0014","ACCT_RL0015","ACCT_RL0016","ACCT_RL0017","ACCT_RL0018","ACCT_RL0019","ACCT_RL0020","ACCT_RL0021","ACCT_RL0022","ACCT_RL0023","ACCT_RL0024","ACCT_RL0025","ACCT_RL0026","ACCT_RL0027","ACCT_RL0028","ACCT_RL0029","ACCT_RL0030","ACCT_RL0031","ACCT_RL0032","ACCT_RL0033","ACCT_RL0034","ACCT_RL0035","ACCT_RL0036","ACCT_RL0037","ACCT_RL0038","ACCT_RL0039","ACCT_RL0040","ACCT_RL0041","ACCT_RL0042","ACCT_RL0043","ACCT_RL0044","ACCT_RL0045","ACCT_RL0046","ACCT_RL0047","ACCT_RL0048","ACCT_RL0050","ACCT_SH0013","ACCT_SH0018","ACCT_SH0880","ACCT_SL0018","ACCT_SL0019","ACCT_SL0020","ACCT_SL0021","ACCT_SL0022","ACCT_SL0023","ACCT_SL0024","ACCT_SL0026","ACCT_SL0028","ACCT_SL0029","ACCT_SL0030","ACCT_SL0032","ACCT_SL0033","ACCT_SL0034","ACCT_SL0035","ACCT_LR0001","ACCT_LR0002","ACCT_LR0003","ACCT_LR0004","ACCT_LR0005","ACCT_LR0006","ACCT_LR0007","ACCT_LR0008","ACCT_LQ0060","ACCT_LQ0061","ACCT_LQ0062","ACCT_NW0004"
1,6/30/2025 0:00:00,2,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,2361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8993949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29124,29124,8964825,0,-29124,-29124,0,0,0,0,0,155045,0,104562,104562,0,0,0,0,0,0,0,12744033,75438,75438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12744033,0,0,29124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11308264,11308264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2475
6,6/30/2025 0:00:00,7,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,28911829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169735150,0,0,0,0,0,0,0,1295668,0,0,0,0,0,0,0,0,3003349,3003349,203867394,0,-3003349,-3003349,0,0,0,0,0,16903454,0,2306432,2306432,0,0,0,0,0,0,0,275029974,-696917,-696917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275029974,0,0,3003349,99,16620440,770600,85,5533581,202150,8,1273184,445000,18,1037854,175650,0,0,0,24465059,1593400,112,5984234,1107000,0,0,0,0,0,0,104,5390633,615400,11374867,1722400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,35839926,3315800,7819790,207543709,239297709,31754000,263,4340445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6/30/2025 0:00:00,11,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,4482886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22252632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081454,1081454,30208617,0,-1081454,-1081454,0,0,0,0,0,9515096,0,543794,543794,0,0,0,0,0,0,0,65806511,-537660,-537660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65806511,0,0,1081454,7,665112,0,56,3366861,954200,0,0,0,0,0,0,0,0,0,4031973,954200,100,4978862,1113200,0,0,0,0,0,0,2,26604,0,5005466,1113200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,9037439,2067400,0,59889135,59889135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6/30/2025 0:00:00,12,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,5456383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669839546,0,0,0,0,0,0,0,1081593,0,0,0,0,0,0,0,0,3718742,3718742,1062907540,0,-3718742,-3718742,0,0,0,0,0,44174345,0,9998880,9998880,0,0,0,0,0,0,0,1225768731,6280138,6280138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225768731,0,0,3718742,351,84875498,11695851,866,91080112,21293381,0,0,0,331,109200101,6581553,426,25093971,3018390,310249682,42589175,0,0,0,0,0,0,0,0,0,1648,85455461,10924820,85455461,10924820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3622,395705143,53513995,235158542,984449668,1065214161,80764493,3,1081593,0,0,6,1391814,6,0,4,940427,234,0,0,0,0,1,59324196,483,0,0,0,0,0,0,0,0,751817
16,6/30/2025 0:00:00,14,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,40341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2772431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38705,38705,3602892,0,-38705,-38705,0,0,0,0,0,127753,0,80491,80491,0,0,0,0,0,0,0,10321180,41786,41786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10321180,0,0,38705,2,117419,117419,1,66176,66176,8,503958,503958,0,0,0,0,0,0,687553,687553,5,132616,132616,4,48995,48995,0,0,0,0,0,0,181611,181611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,869164,869164,0,8999213,8999213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6/30/2025 0:00:00,16,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,7778857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1454775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31530,31530,1423245,0,-31530,-31530,0,0,0,0,0,88394,0,65179,65179,0,0,0,0,0,0,0,9931372,33649,33649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9931372,0,0,31530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6763298,6763298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6/30/2025 0:00:00,17,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,38611319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92700819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1526624,1526624,233452144,0,-1526624,-1526624,0,0,0,0,0,8412194,0,2605580,2605580,0,0,0,0,0,0,0,356097547,1078956,1078956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356097547,0,0,1526624,27,6056583,172000,31,4328629,0,0,0,0,0,0,0,5,697109,0,11082321,172000,997,69740846,3097498,0,0,0,0,0,0,1635,61454782,14791500,131195628,17888998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2695,142277949,18060998,81764093,298192212,298192212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5247350,0,378509
26,6/30/2025 0:00:00,19,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,111464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5081177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51874,51874,6040299,0,-51874,-51874,0,0,0,0,0,415584,0,182886,182886,0,0,0,0,0,0,0,21663921,131012,131012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21663921,0,0,51874,0,0,0,16,1010996,0,0,0,0,0,0,0,0,0,0,1010996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1010996,0,0,19343666,19343666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17546
28,6/30/2025 0:00:00,21,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,75443418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570021431,0,0,0,0,0,0,0,123280477,0,0,0,0,0,0,-2928168,0,19709337,19709337,1193443389,-2928168,-19709337,-19709337,0,0,0,0,0,124006483,0,11396668,11396668,0,0,0,0,0,0,0,1410974903,-8312669,-8312669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410974903,0,0,19709337,1072,198087761,40017150,712,52443882,1023485,7,521237,0,0,0,0,302,78858161,0,329911041,41040635,1272,56912410,9347634,0,0,0,0,0,0,2783,130099200,38150064,187011610,47497698,6,198699,17250,8,181040,0,0,0,0,0,0,0,379739,17250,6162,517302390,88555583,172601372,1170478470,1186683470,16205000,9,21455338,0,0,76,17485886,76,0,76,17485886,2824,0,0,1577,23696169,1,106073324,751,0,0,0,0,0,0,37901481,0,1863476
42,6/30/2025 0:00:00,29,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,26423000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31033150,0,0,0,0,0,0,0,359732,0,0,0,0,0,0,0,0,326049,326049,83388989,0,-326049,-326049,0,0,0,0,0,4336420,0,1176055,1176055,0,0,0,0,0,0,0,156371315,850006,850006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156371315,0,0,326049,79,13058385,2953125,95,8414880,0,0,0,0,0,0,0,1,111340,0,21584605,2953125,253,15058286,1830915,54,1298287,0,0,0,0,456,14380978,4089100,30737551,5920015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,52322156,8873140,0,137679910,137679910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67116
