source_table,dataset_label,metric,claim_label,success_count,total_count,proportion,percent_reported,ci_low,ci_high,ci_low_pct,ci_high_pct
table10_error_leaks,CA Authorities,any_tech_leak,Any tech leak,177,375,0.472,47.2,0.4220123979380265,0.5225554636695688,42.20123979380265,52.255546366956885
table10_error_leaks,CA Authorities,version_leak,Version leak,40,375,0.10666666666666667,10.7,0.07931555274134355,0.141994884127258,7.931555274134356,14.199488412725799
table10_error_leaks,CA Education,any_tech_leak,Any tech leak,47,103,0.4563106796116505,45.6,0.36342076531355333,0.5523423831230108,36.34207653135533,55.23423831230107
table10_error_leaks,CA Education,version_leak,Version leak,11,103,0.10679611650485436,10.7,0.060686713355145916,0.1811816225739304,6.068671335514591,18.11816225739304
table10_error_leaks,CA Finance,any_tech_leak,Any tech leak,37,177,0.20903954802259886,20.9,0.15563392765514286,0.2748068558813885,15.563392765514287,27.480685588138847
table10_error_leaks,CA Finance,version_leak,Version leak,15,177,0.0847457627118644,8.5,0.052027874520308236,0.1351060592648385,5.202787452030823,13.510605926483851
table10_error_leaks,CA Energy,any_tech_leak,Any tech leak,84,214,0.3925233644859813,39.3,0.32954500180437957,0.45929239197164845,32.954500180437954,45.92923919716485
table10_error_leaks,CA Energy,version_leak,Version leak,28,214,0.1308411214953271,13.1,0.09209806286005723,0.18260428967499576,9.209806286005723,18.260428967499575
table10_error_leaks,US Authorities,any_tech_leak,Any tech leak,166,373,0.4450402144772118,44.5,0.3954200869630304,0.49578088447961305,39.542008696303036,49.578088447961306
table10_error_leaks,US Authorities,version_leak,Version leak,24,373,0.064343163538874,6.4,0.04361596695343043,0.09395270911630285,4.361596695343043,9.395270911630286
table10_error_leaks,US Education,any_tech_leak,Any tech leak,17,53,0.32075471698113206,32.1,0.210920445893403,0.45481732362751115,21.0920445893403,45.48173236275112
table10_error_leaks,US Education,version_leak,Version leak,8,53,0.1509433962264151,15.1,0.07852324257781651,0.2705450454365954,7.852324257781651,27.05450454365954
table10_error_leaks,US Finance,any_tech_leak,Any tech leak,34,107,0.3177570093457944,31.8,0.23716287314844187,0.41098367110930967,23.716287314844188,41.098367110930965
table10_error_leaks,US Finance,version_leak,Version leak,4,107,0.037383177570093455,3.7,0.014631662528342755,0.09220187289518053,1.4631662528342755,9.220187289518053
table10_error_leaks,US Energy,any_tech_leak,Any tech leak,51,141,0.3617021276595745,36.2,0.2870320321093272,0.4437083076825558,28.70320321093272,44.37083076825558
table10_error_leaks,US Energy,version_leak,Version leak,10,141,0.07092198581560284,7.1,0.03897621274287337,0.12562843122681494,3.897621274287337,12.562843122681494
table10_error_leaks,UK Authorities,any_tech_leak,Any tech leak,2,4,0.5,50.0,0.15003570882017148,0.8499642911798285,15.003570882017147,84.99642911798286
table10_error_leaks,UK Authorities,version_leak,Version leak,0,4,0.0,0.0,0.0,0.48990002040399916,0.0,48.990002040399915
table10_error_leaks,UK Education,any_tech_leak,Any tech leak,146,417,0.3501199040767386,35.0,0.3058930503141481,0.39708308132302844,30.58930503141481,39.70830813230285
table10_error_leaks,UK Education,version_leak,Version leak,33,417,0.07913669064748201,7.9,0.056902037633026425,0.10905494000416532,5.690203763302643,10.905494000416532
table10_error_leaks,UK Finance,any_tech_leak,Any tech leak,41,165,0.24848484848484848,24.8,0.18877364729249863,0.3196413404830258,18.877364729249862,31.96413404830258
table10_error_leaks,UK Finance,version_leak,Version leak,9,165,0.05454545454545454,5.5,0.0289583998546884,0.1004030845188309,2.89583998546884,10.04030845188309
