source_table,dataset_label,metric,claim_label,success_count,total_count,proportion,percent_reported,ci_low,ci_high,ci_low_pct,ci_high_pct
table7_cookie_security_flags,CA Authorities,sites_with_cookies,Sites with cookies,115,408,0.2818627450980392,28.2,0.24039750728718262,0.32739748962425125,24.03975072871826,32.739748962425125
table7_cookie_security_flags,CA Authorities,secure_flag_present,Secure flag,73,115,0.6347826086956522,63.5,0.5437476062484989,0.7171038127832206,54.37476062484989,71.71038127832206
table7_cookie_security_flags,CA Authorities,httponly_flag_present,HttpOnly flag,56,115,0.48695652173913045,48.7,0.39751145899006946,0.5772448552971834,39.75114589900694,57.724485529718336
table7_cookie_security_flags,CA Authorities,samesite_ge_lax_present,SameSite≥Lax,18,115,0.1565217391304348,15.7,0.10136047320528253,0.23388913635904512,10.136047320528254,23.388913635904512
table7_cookie_security_flags,CA Authorities,recommended_sufficient,Recommended/Sufficient,4,115,0.034782608695652174,3.5,0.013607622627126406,0.08603425361822875,1.3607622627126406,8.603425361822875
table7_cookie_security_flags,CA Education,sites_with_cookies,Sites with cookies,32,91,0.3516483516483517,35.2,0.2613712913278969,0.4539435072415074,26.13712913278969,45.39435072415074
table7_cookie_security_flags,CA Education,secure_flag_present,Secure flag,14,32,0.4375,43.8,0.2816508596944317,0.6067469796877387,28.165085969443172,60.67469796877387
table7_cookie_security_flags,CA Education,httponly_flag_present,HttpOnly flag,16,32,0.5,50.0,0.33630614316859386,0.6636938568314061,33.630614316859386,66.36938568314062
table7_cookie_security_flags,CA Education,samesite_ge_lax_present,SameSite≥Lax,0,32,0.0,0.0,0.0,0.1071827150573635,0.0,10.71827150573635
table7_cookie_security_flags,CA Education,recommended_sufficient,Recommended/Sufficient,0,32,0.0,0.0,0.0,0.1071827150573635,0.0,10.71827150573635
table7_cookie_security_flags,CA Finance,sites_with_cookies,Sites with cookies,90,142,0.6338028169014085,63.4,0.5520091632547595,0.7085474954763571,55.200916325475944,70.8547495476357
