source_table,dataset_label,metric,claim_label,success_count,total_count,proportion,percent_reported,ci_low,ci_high,ci_low_pct,ci_high_pct
table6_security_headers,CA Authorities,referrer_policy_present,Referrer-Policy,71,408,0.17401960784313725,17.4,0.14031793098070633,0.21380268238132405,14.031793098070633,21.380268238132405
table6_security_headers,CA Authorities,x_content_type_options_present,X-Content-Type-Options,254,408,0.6225490196078431,62.3,0.5745744677063537,0.6682373317816047,57.457446770635364,66.82373317816047
table6_security_headers,CA Authorities,x_frame_options_present,X-Frame-Options,259,408,0.6348039215686274,63.5,0.5870272580757399,0.6800657213610144,58.702725807573984,68.00657213610144
table6_security_headers,CA Authorities,csp_frame_ancestors_present,CSP frame-ancestors,73,408,0.17892156862745098,17.9,0.14477744165889267,0.21905564368265606,14.477744165889266,21.90556436826561
table6_security_headers,CA Authorities,permissions_policy_present,Permissions-Policy,35,408,0.0857843137254902,8.6,0.062326470256866176,0.11696964747383416,6.232647025686617,11.696964747383417
table6_security_headers,CA Education,referrer_policy_present,Referrer-Policy,16,91,0.17582417582417584,17.6,0.11122434523601706,0.2666857701563846,11.122434523601706,26.668577015638462
table6_security_headers,CA Education,x_content_type_options_present,X-Content-Type-Options,55,91,0.6043956043956044,60.4,0.5016642594838487,0.6986697711524965,50.16642594838488,69.86697711524965
table6_security_headers,CA Education,x_frame_options_present,X-Frame-Options,50,91,0.5494505494505495,54.9,0.4472910565435856,0.6476040105999464,44.729105654358555,64.76040105999465
table6_security_headers,CA Education,csp_frame_ancestors_present,CSP frame-ancestors,26,91,0.2857142857142857,28.6,0.2030608259873361,0.3857272163906922,20.30608259873361,38.572721639069215
table6_security_headers,CA Education,permissions_policy_present,Permissions-Policy,10,91,0.10989010989010989,11.0,0.06079407536219415,0.19058928383883156,6.079407536219415,19.058928383883156
table6_security_headers,CA Finance,referrer_policy_present,Referrer-Policy,25,142,0.176056338028169,17.6,0.12218869252177122,0.24698992318184143,12.218869252177122,24.698992318184143
table6_security_headers,CA Finance,x_content_type_options_present,X-Content-Type-Options,53,142,0.3732394366197183,37.3,0.2980091971868539,0.45514765243629873,29.800919718685392,45.514765243629874
table6_security_headers,CA Finance,x_frame_options_present,X-Frame-Options,56,142,0.39436619718309857,39.4,0.31778217081163035,0.47651520387433016,31.778217081163035,47.65152038743302
table6_security_headers,CA Finance,csp_frame_ancestors_present,CSP frame-ancestors,41,142,0.2887323943661972,28.9,0.22053765905389083,0.3680570903180304,22.053765905389085,36.80570903180304
table6_security_headers,CA Finance,permissions_policy_present,Permissions-Policy,14,142,0.09859154929577464,9.9,0.059639790254579064,0.1586902335520714,5.963979025457906,15.86902335520714
table6_security_headers,CA Energy,referrer_policy_present,Referrer-Policy,49,207,0.23671497584541062,23.7,0.18393540733438019,0.29908881558936923,18.39354073343802,29.908881558936923
table6_security_headers,CA Energy,x_content_type_options_present,X-Content-Type-Options,95,207,0.45893719806763283,45.9,0.39241788054283117,0.5269528698214232,39.24178805428312,52.69528698214232
table6_security_headers,CA Energy,x_frame_options_present,X-Frame-Options,89,207,0.42995169082125606,43.0,0.36439009610874984,0.49806588980674316,36.43900961087498,49.80658898067431
table6_security_headers,CA Energy,csp_frame_ancestors_present,CSP frame-ancestors,60,207,0.2898550724637681,29.0,0.23232345753380648,0.3550445002126724,23.23234575338065,35.50445002126724
table6_security_headers,CA Energy,permissions_policy_present,Permissions-Policy,28,207,0.13526570048309178,13.5,0.09527037451942909,0.18855217283365489,9.527037451942908,18.855217283365487
table6_security_headers,US Authorities,referrer_policy_present,Referrer-Policy,77,314,0.24522292993630573,24.5,0.2009044004788053,0.2957001975347964,20.09044004788053,29.57001975347964
table6_security_headers,US Authorities,x_content_type_options_present,X-Content-Type-Options,245,314,0.7802547770700637,78.0,0.7312188559919052,0.822516086193133,73.12188559919052,82.2516086193133
table6_security_headers,US Authorities,x_frame_options_present,X-Frame-Options,255,314,0.8121019108280255,81.2,0.7652188810302036,0.8514404864031344,76.52188810302036,85.14404864031344
table6_security_headers,US Authorities,csp_frame_ancestors_present,CSP frame-ancestors,109,314,0.3471337579617834,34.7,0.2966114867287636,0.40135127207939736,29.661148672876358,40.13512720793974
table6_security_headers,US Authorities,permissions_policy_present,Permissions-Policy,17,314,0.054140127388535034,5.4,0.034073598073118924,0.08498444845068413,3.4073598073118925,8.498444845068413
table6_security_headers,US Education,referrer_policy_present,Referrer-Policy,10,48,0.20833333333333334,20.8,0.11730147795889813,0.3425917352135348,11.730147795889813,34.25917352135348
table6_security_headers,US Education,x_content_type_options_present,X-Content-Type-Options,21,48,0.4375,43.8,0.3070105464041092,0.5772522849899835,30.70105464041092,57.72522849899835
table6_security_headers,US Education,x_frame_options_present,X-Frame-Options,24,48,0.5,50.0,0.36389098932037767,0.6361090106796223,36.38909893203777,63.61090106796223
table6_security_headers,US Education,csp_frame_ancestors_present,CSP frame-ancestors,13,48,0.2708333333333333,27.1,0.16565803561632889,0.40997234616201117,16.56580356163289,40.99723461620112
table6_security_headers,US Education,permissions_policy_present,Permissions-Policy,4,48,0.08333333333333333,8.3,0.03288322434995555,0.19553565161066291,3.288322434995555,19.55356516106629
table6_security_headers,US Finance,referrer_policy_present,Referrer-Policy,22,77,0.2857142857142857,28.6,0.1968937869371719,0.3949005367773513,19.68937869371719,39.49005367773513
table6_security_headers,US Finance,x_content_type_options_present,X-Content-Type-Options,50,77,0.6493506493506493,64.9,0.5379921537263109,0.746514832775688,53.799215372631096,74.6514832775688
table6_security_headers,US Finance,x_frame_options_present,X-Frame-Options,52,77,0.6753246753246753,67.5,0.5645787430085915,0.7694077194067986,56.457874300859146,76.94077194067987
table6_security_headers,US Finance,csp_frame_ancestors_present,CSP frame-ancestors,41,77,0.5324675324675324,53.2,0.4221482516277276,0.6397010932640111,42.21482516277276,63.970109326401115
table6_security_headers,US Finance,permissions_policy_present,Permissions-Policy,9,77,0.11688311688311688,11.7,0.06272491064586315,0.2074528196316177,6.272491064586315,20.745281963161773
table6_security_headers,US Energy,referrer_policy_present,Referrer-Policy,32,120,0.26666666666666666,26.7,0.1956834035411147,0.35212605628498583,19.56834035411147,35.212605628498586
