dataset_label,country,sector_code,sector_label,n_sites,pct_revealing_0,pct_revealing_1,pct_revealing_2,pct_revealing_3_plus,pct_with_any_revealing
CA Authorities,CA,auth,Authorities,572,30.6,37.4,24.3,7.7,69.4
CA Education,CA,edu,Education,96,21.9,35.4,38.5,4.2,78.1
CA Finance,CA,fin,Finance,156,51.3,35.3,12.2,1.3,48.7
CA Energy,CA,energy,Energy,229,20.5,44.5,27.1,7.9,79.5
US Authorities,US,auth,Authorities,434,41.2,27.0,21.7,10.1,58.8
US Education,US,edu,Education,51,13.7,64.7,13.7,7.8,86.3
US Finance,US,fin,Finance,94,40.4,42.6,13.8,3.2,59.6
US Energy,US,energy,Energy,141,45.4,14.9,31.2,8.5,54.6
UK Authorities,UK,auth,Authorities,349,0.0,99.4,0.6,0.0,100.0
UK Education,UK,edu,Education,354,26.6,40.4,29.9,3.1,73.4
UK Finance,UK,fin,Finance,141,39.0,42.6,17.7,0.7,61.0
