dataset_label,country,sector_code,sector_label,n_sites,pct_referrer_policy_present,pct_x_content_type_options_present,pct_x_frame_options_present,pct_csp_frame_ancestors_present,pct_permissions_policy_present
CA Authorities,CA,auth,Authorities,572,12.6,46.0,46.9,13.6,6.5
CA Education,CA,edu,Education,96,16.7,57.3,52.1,27.1,10.4
CA Finance,CA,fin,Finance,156,16.7,34.6,36.5,26.9,9.6
CA Energy,CA,energy,Energy,229,23.1,43.7,40.6,28.4,13.1
US Authorities,US,auth,Authorities,434,18.0,56.9,59.2,25.3,3.9
US Education,US,edu,Education,51,19.6,41.2,47.1,25.5,7.8
US Finance,US,fin,Finance,94,23.4,53.2,55.3,43.6,9.6
US Energy,US,energy,Energy,141,22.7,65.2,50.4,43.3,8.5
UK Authorities,UK,auth,Authorities,349,0.0,87.7,87.7,87.4,87.7
UK Education,UK,edu,Education,354,27.1,46.9,40.7,20.1,7.6
UK Finance,UK,fin,Finance,141,42.6,70.9,67.4,55.3,21.3
