source_table,dataset_label,metric,claim_label,success_count,total_count,proportion,percent_reported,ci_low,ci_high,ci_low_pct,ci_high_pct
table5_hsts_quality,CA Authorities,any_hsts,Any HSTS,175,293,0.5972696245733788,59.73,0.5402027827030768,0.6518188207379504,54.02027827030768,65.18188207379504
table5_hsts_quality,CA Authorities,strong_hsts,Strong HSTS,81,175,0.46285714285714286,46.29,0.3905720389660744,0.5367379381309768,39.05720389660744,53.67379381309768
table5_hsts_quality,CA Authorities,preload_signaling,Preload signaling,48,175,0.2742857142857143,27.43,0.21356542670728643,0.3447028956517173,21.356542670728643,34.47028956517173
table5_hsts_quality,CA Education,any_hsts,Any HSTS,54,97,0.5567010309278351,55.67,0.45755626177249387,0.6515257044001969,45.75562617724939,65.15257044001969
table5_hsts_quality,CA Education,strong_hsts,Strong HSTS,18,54,0.3333333333333333,33.33,0.22241243520150356,0.466392853725497,22.241243520150356,46.6392853725497
table5_hsts_quality,CA Education,preload_signaling,Preload signaling,11,54,0.2037037037037037,20.37,0.1177393408658538,0.32902561722659174,11.773934086585381,32.90256172265917
table5_hsts_quality,CA Finance,any_hsts,Any HSTS,132,168,0.7857142857142857,78.57,0.7176445248005752,0.8410094914562567,71.76445248005751,84.10094914562566
table5_hsts_quality,CA Finance,strong_hsts,Strong HSTS,46,132,0.3484848484848485,34.85,0.2725254461708375,0.43301394676917493,27.25254461708375,43.301394676917496
table5_hsts_quality,CA Finance,preload_signaling,Preload signaling,31,132,0.23484848484848486,23.48,0.17066718052506508,0.31402675711995676,17.06671805250651,31.402675711995677
table5_hsts_quality,CA Energy,any_hsts,Any HSTS,114,195,0.5846153846153846,58.46,0.5144655032371728,0.6514957443086125,51.446550323717275,65.14957443086125
table5_hsts_quality,CA Energy,strong_hsts,Strong HSTS,56,114,0.49122807017543857,49.12,0.4012505479700841,0.5817775168219758,40.12505479700841,58.177751682197574
table5_hsts_quality,CA Energy,preload_signaling,Preload signaling,24,114,0.21052631578947367,21.05,0.14575199266859673,0.2941741454693783,14.575199266859673,29.41741454693783
table5_hsts_quality,US Authorities,any_hsts,Any HSTS,245,273,0.8974358974358975,89.74,0.8557590581756503,0.9280826765925348,85.57590581756503,92.80826765925349
table5_hsts_quality,US Authorities,strong_hsts,Strong HSTS,159,245,0.6489795918367347,64.9,0.5873321246705298,0.7060271850268843,58.73321246705297,70.60271850268843
table5_hsts_quality,US Authorities,preload_signaling,Preload signaling,136,245,0.5551020408163265,55.51,0.49249918299155027,0.616003575389685,49.24991829915503,61.600357538968495
table5_hsts_quality,US Education,any_hsts,Any HSTS,31,50,0.62,62.0,0.4815019502239357,0.7413740415742278,48.150195022393575,74.13740415742278
table5_hsts_quality,US Education,strong_hsts,Strong HSTS,6,31,0.1935483870967742,19.35,0.09186883586347633,0.36280603555459856,9.186883586347633,36.280603555459855
table5_hsts_quality,US Education,preload_signaling,Preload signaling,7,31,0.22580645161290322,22.58,0.11394991594498799,0.3981276005869738,11.3949915944988,39.81276005869738
table5_hsts_quality,US Finance,any_hsts,Any HSTS,70,90,0.7777777777777778,77.78,0.6815249725824009,0.8512877671833321,68.15249725824009,85.12877671833321
table5_hsts_quality,US Finance,strong_hsts,Strong HSTS,27,70,0.38571428571428573,38.57,0.28047517785454174,0.5028447935436945,28.047517785454172,50.28447935436945
table5_hsts_quality,US Finance,preload_signaling,Preload signaling,16,70,0.22857142857142856,22.86,0.1458794018862768,0.33950553018453417,14.58794018862768,33.95055301845342
table5_hsts_quality,US Energy,any_hsts,Any HSTS,90,119,0.7563025210084033,75.63,0.6719452129284095,0.824629237420658,67.19452129284095,82.4629237420658
table5_hsts_quality,US Energy,strong_hsts,Strong HSTS,48,90,0.5333333333333333,53.33,0.4310200470971506,0.6329174816747374,43.10200470971506,63.29174816747374
table5_hsts_quality,US Energy,preload_signaling,Preload signaling,19,90,0.2111111111111111,21.11,0.1395248384759475,0.3063499121676903,13.952483847594749,30.63499121676903
table5_hsts_quality,UK Authorities,any_hsts,Any HSTS,1,4,0.25,25.0,0.045586062644636216,0.6993639475573634,4.558606264463622,69.93639475573634
table5_hsts_quality,UK Authorities,strong_hsts,Strong HSTS,0,1,0.0,0.0,0.0,0.7934567085261071,0.0,79.34567085261071
table5_hsts_quality,UK Authorities,preload_signaling,Preload signaling,1,1,1.0,100.0,0.20654329147389294,1.0,20.654329147389294,100.0
table5_hsts_quality,UK Education,any_hsts,Any HSTS,205,374,0.5481283422459893,54.81,0.4974544053787342,0.59782361588732,49.74544053787342,59.782361588732
table5_hsts_quality,UK Education,strong_hsts,Strong HSTS,72,205,0.35121951219512193,35.12,0.28915653106729666,0.41875606872125115,28.915653106729668,41.87560687212512
table5_hsts_quality,UK Education,preload_signaling,Preload signaling,48,205,0.23414634146341465,23.41,0.18139549264042762,0.2966778414079613,18.139549264042763,29.667784140796126
table5_hsts_quality,UK Finance,any_hsts,Any HSTS,128,149,0.8590604026845637,85.91,0.7941372491825542,0.9059339356257703,79.41372491825543,90.59339356257703
table5_hsts_quality,UK Finance,strong_hsts,Strong HSTS,67,128,0.5234375,52.34,0.43749638578492134,0.6080127706573549,43.74963857849213,60.80127706573549
table5_hsts_quality,UK Finance,preload_signaling,Preload signaling,44,128,0.34375,34.38,0.26710028592933976,0.42950533778881894,26.710028592933977,42.95053377888189
