source_table,dataset_label,metric,claim_label,success_count,total_count,proportion,percent_reported,ci_low,ci_high,ci_low_pct,ci_high_pct
table8_securitytxt,CA Authorities,securitytxt_present,security.txt present,4,375,0.010666666666666666,1.1,0.004155592361729339,0.027101798590056313,0.4155592361729339,2.710179859005631
table8_securitytxt,CA Authorities,contact_present,Contact,4,4,1.0,100.0,0.5100999795960008,1.0,51.009997959600085,100.0
table8_securitytxt,CA Authorities,expires_present,Expires,4,4,1.0,100.0,0.5100999795960008,1.0,51.009997959600085,100.0
table8_securitytxt,CA Authorities,valid_expires,Valid expires,1,4,0.25,25.0,0.045586062644636216,0.6993639475573634,4.558606264463622,69.93639475573634
table8_securitytxt,CA Education,securitytxt_present,security.txt present,4,103,0.038834951456310676,3.9,0.015203743545083998,0.09562948995198081,1.5203743545083999,9.56294899519808
table8_securitytxt,CA Education,contact_present,Contact,4,4,1.0,100.0,0.5100999795960008,1.0,51.009997959600085,100.0
table8_securitytxt,CA Education,expires_present,Expires,4,4,1.0,100.0,0.5100999795960008,1.0,51.009997959600085,100.0
table8_securitytxt,CA Education,valid_expires,Valid expires,4,4,1.0,100.0,0.5100999795960008,1.0,51.009997959600085,100.0
table8_securitytxt,CA Finance,securitytxt_present,security.txt present,1,177,0.005649717514124294,0.6,0.0009979853431591884,0.03130431678201555,0.09979853431591884,3.1304316782015547
table8_securitytxt,CA Finance,contact_present,Contact,1,1,1.0,100.0,0.20654329147389294,1.0,20.654329147389294,100.0
table8_securitytxt,CA Finance,expires_present,Expires,0,1,0.0,0.0,0.0,0.7934567085261071,0.0,79.34567085261071
table8_securitytxt,CA Finance,valid_expires,Valid expires,0,0,,0.0,,,,
table8_securitytxt,CA Energy,securitytxt_present,security.txt present,9,214,0.04205607476635514,4.2,0.0222808279430659,0.07798284988522769,2.22808279430659,7.798284988522769
table8_securitytxt,CA Energy,contact_present,Contact,9,9,1.0,100.0,0.7008472464490407,1.0,70.08472464490407,100.0
table8_securitytxt,CA Energy,expires_present,Expires,6,9,0.6666666666666666,66.7,0.35419734749908977,0.879418401317257,35.419734749908976,87.9418401317257
table8_securitytxt,CA Energy,valid_expires,Valid expires,6,6,1.0,100.0,0.6096569663469354,0.9999999999999999,60.96569663469354,99.99999999999999
table8_securitytxt,US Authorities,securitytxt_present,security.txt present,13,373,0.03485254691689008,3.5,0.02047902578547824,0.058709683741283145,2.047902578547824,5.8709683741283145
table8_securitytxt,US Authorities,contact_present,Contact,13,13,1.0,100.0,0.7718981569447083,1.0,77.18981569447084,100.0
table8_securitytxt,US Authorities,expires_present,Expires,12,13,0.9230769230769231,92.3,0.6668546607175265,0.9862899336203037,66.68546607175266,98.62899336203037
table8_securitytxt,US Authorities,valid_expires,Valid expires,10,12,0.8333333333333334,83.3,0.5519636426153274,0.9530358523851776,55.196364261532736,95.30358523851777
table8_securitytxt,US Education,securitytxt_present,security.txt present,3,53,0.05660377358490566,5.7,0.019436308927314183,0.15370448936126319,1.9436308927314183,15.37044893612632
table8_securitytxt,US Education,contact_present,Contact,3,3,1.0,100.0,0.43849391955098227,1.0,43.84939195509823,100.0
table8_securitytxt,US Education,expires_present,Expires,1,3,0.3333333333333333,33.3,0.0614903152761605,0.7923450448735121,6.14903152761605,79.23450448735122
table8_securitytxt,US Education,valid_expires,Valid expires,1,1,1.0,100.0,0.20654329147389294,1.0,20.654329147389294,100.0
table8_securitytxt,US Finance,securitytxt_present,security.txt present,3,107,0.028037383177570093,2.8,0.009580293417619429,0.07920947504476293,0.9580293417619429,7.920947504476293
table8_securitytxt,US Finance,contact_present,Contact,3,3,1.0,100.0,0.43849391955098227,1.0,43.84939195509823,100.0
table8_securitytxt,US Finance,expires_present,Expires,2,3,0.6666666666666666,66.7,0.2076549551264879,0.9385096847238394,20.76549551264879,93.85096847238394
table8_securitytxt,US Finance,valid_expires,Valid expires,2,2,1.0,100.0,0.34237195288961925,1.0,34.23719528896193,100.0
table8_securitytxt,US Energy,securitytxt_present,security.txt present,1,141,0.0070921985815602835,0.7,0.0012530139445820175,0.03907794069828302,0.12530139445820176,3.9077940698283022
table8_securitytxt,US Energy,contact_present,Contact,1,1,1.0,100.0,0.20654329147389294,1.0,20.654329147389294,100.0
table8_securitytxt,US Energy,expires_present,Expires,1,1,1.0,100.0,0.20654329147389294,1.0,20.654329147389294,100.0
table8_securitytxt,US Energy,valid_expires,Valid expires,0,1,0.0,0.0,0.0,0.7934567085261071,0.0,79.34567085261071
table8_securitytxt,UK Authorities,securitytxt_present,security.txt present,0,4,0.0,0.0,0.0,0.48990002040399916,0.0,48.990002040399915
table8_securitytxt,UK Authorities,contact_present,Contact,0,0,,0.0,,,,
table8_securitytxt,UK Authorities,expires_present,Expires,0,0,,0.0,,,,
table8_securitytxt,UK Authorities,valid_expires,Valid expires,0,0,,0.0,,,,
table8_securitytxt,UK Education,securitytxt_present,security.txt present,24,417,0.05755395683453238,5.8,0.03897753728271125,0.08420800331023394,3.897753728271125,8.420800331023393
table8_securitytxt,UK Education,contact_present,Contact,24,24,1.0,100.0,0.8620194241710247,1.0,86.20194241710247,100.0
table8_securitytxt,UK Education,expires_present,Expires,18,24,0.75,75.0,0.5510017468789357,0.8800079652065766,55.10017468789356,88.00079652065766
table8_securitytxt,UK Education,valid_expires,Valid expires,15,18,0.8333333333333334,83.3,0.6077750036164076,0.9416352959953425,60.777500361640755,94.16352959953424
table8_securitytxt,UK Finance,securitytxt_present,security.txt present,20,165,0.12121212121212122,12.1,0.07985168894072577,0.1798094372272328,7.985168894072577,17.980943722723282
table8_securitytxt,UK Finance,contact_present,Contact,20,20,1.0,100.0,0.8388698745050667,1.0,83.88698745050667,100.0
table8_securitytxt,UK Finance,expires_present,Expires,10,20,0.5,50.0,0.2992949144298199,0.7007050855701801,29.92949144298199,70.070508557018
table8_securitytxt,UK Finance,valid_expires,Valid expires,6,10,0.6,60.0,0.3126695474501864,0.8318224187964902,31.266954745018637,83.18224187964903
