source_table,dataset_label,metric,claim_label,success_count,total_count,proportion,percent_reported,ci_low,ci_high,ci_low_pct,ci_high_pct
table4_tls_summary,CA Authorities,tls13_support,TLS 1.3 support,247,375,0.6586666666666666,65.9,0.609283257223591,0.7048321936667018,60.9283257223591,70.48321936667018
table4_tls_summary,CA Authorities,tls12_support,TLS 1.2 support,354,375,0.944,94.4,0.9159109702095283,0.9630843671557452,91.59109702095283,96.30843671557452
table4_tls_summary,CA Authorities,tls11_support,TLS 1.1 support,43,375,0.11466666666666667,11.5,0.08625224603427703,0.15089594466072584,8.625224603427704,15.089594466072583
table4_tls_summary,CA Authorities,tls10_support,TLS 1.0 support,36,375,0.096,9.6,0.07014999107700011,0.13004344068973303,7.014999107700011,13.004344068973303
table4_tls_summary,CA Authorities,tls13_negotiated,Negotiated TLS 1.3,246,356,0.6910112359550562,69.1,0.641185004256705,0.7367590689132676,64.1185004256705,73.67590689132676
table4_tls_summary,CA Authorities,tls12_negotiated,Negotiated TLS 1.2,110,356,0.3089887640449438,30.9,0.2632409310867324,0.358814995743295,26.324093108673242,35.8814995743295
table4_tls_summary,CA Authorities,tls_other_negotiated,Negotiated other TLS,0,356,0.0,0.0,0.0,0.01067580846683652,0.0,1.0675808466836518
table4_tls_summary,UK Authorities,tls13_support,TLS 1.3 support,4,4,1.0,100.0,0.5100999795960008,1.0,51.009997959600085,100.0
table4_tls_summary,UK Authorities,tls12_support,TLS 1.2 support,4,4,1.0,100.0,0.5100999795960008,1.0,51.009997959600085,100.0
table4_tls_summary,UK Authorities,tls11_support,TLS 1.1 support,0,4,0.0,0.0,0.0,0.48990002040399916,0.0,48.990002040399915
table4_tls_summary,UK Authorities,tls10_support,TLS 1.0 support,0,4,0.0,0.0,0.0,0.48990002040399916,0.0,48.990002040399915
table4_tls_summary,UK Authorities,tls13_negotiated,Negotiated TLS 1.3,4,4,1.0,100.0,0.5100999795960008,1.0,51.009997959600085,100.0
table4_tls_summary,UK Authorities,tls12_negotiated,Negotiated TLS 1.2,0,4,0.0,0.0,0.0,0.48990002040399916,0.0,48.990002040399915
table4_tls_summary,UK Authorities,tls_other_negotiated,Negotiated other TLS,0,4,0.0,0.0,0.0,0.48990002040399916,0.0,48.990002040399915
table4_tls_summary,US Authorities,tls13_support,TLS 1.3 support,313,373,0.839142091152815,83.9,0.7984290249007706,0.8729405903434062,79.84290249007707,87.29405903434062
table4_tls_summary,US Authorities,tls12_support,TLS 1.2 support,371,373,0.9946380697050938,99.5,0.9806628945464211,0.9985283624697896,98.0662894546421,99.85283624697897
table4_tls_summary,US Authorities,tls11_support,TLS 1.1 support,12,373,0.032171581769437,3.2,0.018497368157736765,0.055384071683299896,1.8497368157736764,5.538407168329989
table4_tls_summary,US Authorities,tls10_support,TLS 1.0 support,11,373,0.029490616621983913,2.9,0.016545225049437312,0.05202894510587462,1.6545225049437313,5.202894510587462
table4_tls_summary,US Authorities,tls13_negotiated,Negotiated TLS 1.3,314,371,0.8463611859838275,84.6,0.8061336071195128,0.8794893333438724,80.61336071195127,87.94893333438723
table4_tls_summary,US Authorities,tls12_negotiated,Negotiated TLS 1.2,57,371,0.15363881401617252,15.4,0.12051066665612763,0.1938663928804873,12.051066665612762,19.38663928804873
table4_tls_summary,US Authorities,tls_other_negotiated,Negotiated other TLS,0,371,0.0,0.0,0.0,0.010248595673479145,0.0,1.0248595673479144
table4_tls_summary,CA Education,tls13_support,TLS 1.3 support,80,103,0.7766990291262136,77.7,0.6871566118886148,0.8463434480131464,68.71566118886147,84.63434480131464
table4_tls_summary,CA Education,tls12_support,TLS 1.2 support,103,103,1.0,100.0,0.9640439678926562,1.0000000000000002,96.40439678926562,100.00000000000003
table4_tls_summary,CA Education,tls11_support,TLS 1.1 support,7,103,0.06796116504854369,6.8,0.03330731523877016,0.13368381930058532,3.330731523877016,13.368381930058531
table4_tls_summary,CA Education,tls10_support,TLS 1.0 support,4,103,0.038834951456310676,3.9,0.015203743545083998,0.09562948995198081,1.5203743545083999,9.56294899519808
table4_tls_summary,CA Education,tls13_negotiated,Negotiated TLS 1.3,80,103,0.7766990291262136,77.7,0.6871566118886148,0.8463434480131464,68.71566118886147,84.63434480131464
table4_tls_summary,CA Education,tls12_negotiated,Negotiated TLS 1.2,23,103,0.22330097087378642,22.3,0.15365655198685368,0.3128433881113853,15.365655198685369,31.28433881113853
table4_tls_summary,CA Education,tls_other_negotiated,Negotiated other TLS,0,103,0.0,0.0,0.0,0.03595603210734395,0.0,3.5956032107343954
table4_tls_summary,UK Education,tls13_support,TLS 1.3 support,340,417,0.815347721822542,81.5,0.775285559904164,0.8496526591312165,77.52855599041641,84.96526591312164
table4_tls_summary,UK Education,tls12_support,TLS 1.2 support,399,417,0.9568345323741008,95.7,0.9328045597601448,0.9725241910097412,93.28045597601448,97.25241910097412
table4_tls_summary,UK Education,tls11_support,TLS 1.1 support,37,417,0.08872901678657075,8.9,0.06505735580704726,0.11990914940536519,6.505735580704726,11.99091494053652
table4_tls_summary,UK Education,tls10_support,TLS 1.0 support,35,417,0.08393285371702638,8.4,0.06096730171081563,0.11449443971398648,6.096730171081563,11.449443971398649
